Caida Libre;Al caer un objeto, sobre la velocidad se puede decir:;La velocidad al final es mayor que al principio de la caída.;La velocidad al inicio es mayor que al final de la caída.;La velocidad es constante en todo momento.;Ninguna de las anteriores.;a
Caida Libre;Sobre la distancia recorrida a través del tiempo, se puede decir que:;Sólo depende de la aceleración.;Sólo depende de la velocidad inicial.;Detende tanto de la velocidad inicial como de la aceleración.;Ninguna de las anteriores.;c
Caida Libre;Se suelta un objeto de masa 10[Kg] de una altura 20[m] con una aceleración de 10 [m/s²] ¿cuanto se demora el objeto en caer?;1 [s];4 [s];10 [s];Ninguna de las anteriores.;b
Caida Libre;Se sueltan dos objetos de igual forma y tamaño desde un mismo punto. ¿Llegarán al mismo tiempo al suelo?;No se puede saber, puesto que no se conoce su masa.;No se puede saber, puesto que no se conoce la aceleración del lugar.;Sí, puesto que no es necesario conocer su masa ni la aceleración, ya que se lanzan del mismo punto.;Ninguna de las anteriores.;c
Caida Libre;Se suelta un objeto de masa 10[Kg] de una altura 80[m] con una aceleración de 10 [m/s²]. ¿Cuánto se demora el objeto en caer?;1 [s];4 [s];10 [s];Ninguna de las anteriores.;d
Caida Libre;¿Qué valores es necesario conocer para poder calcular el tiempo de caída de un objeto?;La velocidad inicial y la aceleración.;La altura desde donde se lanza el objeto.;a) y b);Ninguna de las anteriores.;c
Caida Libre;¿Bajo qué condiciones dos objetos de forma y masa distinta caerán al mismo tiempo?;En el vacío, donde no existe roce.;En un lugar sin gravedad.;No existe lugar en el que esto ocurra.;Ninguna de las anteriores.;a
Caida Libre;Considerando el eje de coordenadas con 0,0 en el punto donde caerá el objeto, es correcto afirmar:;La aceleración posee un valor negativo.;La aceleración posee un valor positivo.;La velocidad posee un valor positivo.;Ninguna de las anteriores.;a
Caida Libre;La rapidez y la velocidad son distintas. ¿En que se diferencian?;La rapidez es sólo una magnitud, mientras que la velocidad es un vector con sentido y dirección.;La rapidez es un vector con sentido y dirección, mientras que la velocidad es sólo una magnitud.;Son lo mismo.;Ninguna de las anteriores.;a
Caida Libre;En el movimiento de caída libre, ¿Cómo es el sentido de los vectores gravedad y velocidad cuando la pelota desciende?;Sentidos distintos.;Sentidos iguales.;Variable.;Ninguna de las anteriores.;b
Caida Libre;En el movimiento de caída libre, ¿Cómo es el sentido de los vectores gravedad y velocidad cuando la pelota asciende?;Sentidos iguales.;Sentidos distintos.;Variable.;Ninguna de las anteriores.;b
Caida Libre;Cuando un objeto cae, ¿Qué ocurre con la magnitud de la velocidad?;Se mantiene constante.;Aumenta.;Disminuye.;Ninguna de las anteriores.;d
Caida Libre;Cuando un objeto es lanzado hacia arriba, ¿Qué ocurre con la magnitud de la velocidad?;Se mantiene constante.;Aumenta.;Disminuye.;Ninguna de las anteriores.;c
Caida Libre;Asumiendo una gravedad de 10 [m/s²], ¿Cuánto aumenta la velocidad por cada segundo?;10;5;1;Ninguna de las anteriores.;a
Caida Libre;Al caer un objeto, es verdadero afirmar que la altura:;Disminuye de forma constante.;Disminuye cada vez mas lento.;Disminuye cada vez mas rápido.;Ninguna de las anteriores.;c
Caida Libre;Se deja caer un objeto, el que llega al suelo en 5 [s]. Considerando g=10[m/s²], ¿Desde qué altura se lanzó?;100 [m];150 [m];125 [m];Ninguna de las anteriores.;c
Caida Libre;Se deja caer un objeto, el que llega al suelo en 20[s]. Considerando g=10[m/s²], ¿Desde qué altura se lanzó?;100 [m];2 [km];20 [km];Ninguna de las anteriores.;b
Caida Libre;Se deja caer un objeto, el que llega al suelo en 5 [s]. Considerando g=10[m/s²], ¿Con qué velocidad llegó al suelo?;10 [m/s];50 [m/s];100 [m/s];Ninguna de las anteriores.;b
Caida Libre;¿Desde qué altura se debe lanzar un objeto, para que llegue con una velocidad máxima de 10 [m/s]? Considere g=10[m/s²].;1 [m];3 [m];5 [m];Ninguna de las anteriores.;d
